"link","type","code", "crs"
"http://data.earthenv.org/habitat_heterogeneity/1km/Contrast_01_05_1km_uint32.tif","Habitat heterogeneity","Contrast_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Correlation_01_05_1km_int16.tif","Habitat heterogeneity","Correlation_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Dissimilarity_01_05_1km_uint32.tif","Habitat heterogeneity","Dissimilarity_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Entropy_01_05_1km_uint16.tif","Habitat heterogeneity","Entropy_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Homogeneity_01_05_1km_uint16.tif","Habitat heterogeneity","Homogeneity_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Maximum_01_05_1km_uint16.tif","Habitat heterogeneity","Maximum_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Uniformity_01_05_1km_uint16.tif","Habitat heterogeneity","Uniformity_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/Variance_01_05_1km_uint32.tif","Habitat heterogeneity","Variance_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/cv_01_05_1km_uint16.tif","Habitat heterogeneity","Coefficient of Variation_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/evenness_01_05_1km_uint16.tif","Habitat heterogeneity","Evenness_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/range_01_05_1km_uint16.tif","Habitat heterogeneity","Range_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/1km/shannon_01_05_1km_uint16.tif","Habitat heterogeneity","Shannon_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
