"","lon","lat","date","time","timestamp"
"1",8.9316425,47.751348,"2013/08/02","02:00:51","2013-08-02 02:00:51"
"2",8.9316068,47.751314,"2013/08/02","02:05:07","2013-08-02 02:05:07"
"3",8.9317031,47.75133,"2013/08/02","02:10:11","2013-08-02 02:10:11"
"4",8.9316574,47.751356,"2013/08/02","02:15:12","2013-08-02 02:15:12"
"5",8.9316532,47.751346,"2013/08/02","02:20:10","2013-08-02 02:20:10"
"6",8.931682,47.75133,"2013/08/02","02:25:09","2013-08-02 02:25:09"
"7",8.931592,47.751418,"2013/08/02","02:30:10","2013-08-02 02:30:10"
"8",8.9317422,47.751289,"2013/08/02","02:35:11","2013-08-02 02:35:11"
"9",8.9317154,47.751292,"2013/08/02","02:40:09","2013-08-02 02:40:09"
"10",8.9316508,47.751397,"2013/08/02","02:45:10","2013-08-02 02:45:10"
"11",8.9316155,47.751389,"2013/08/02","02:50:18","2013-08-02 02:50:18"
"12",8.9317217,47.751348,"2013/08/02","02:55:09","2013-08-02 02:55:09"
"13",8.9316418,47.751447,"2013/08/02","03:00:10","2013-08-02 03:00:10"
"14",8.9315341,47.75134,"2013/08/02","03:05:09","2013-08-02 03:05:09"
"15",8.9316469,47.75131,"2013/08/02","03:10:23","2013-08-02 03:10:23"
"16",8.9316006,47.751275,"2013/08/02","03:15:10","2013-08-02 03:15:10"
"17",8.9317545,47.751323,"2013/08/02","03:20:09","2013-08-02 03:20:09"
"18",8.9316322,47.751361,"2013/08/02","03:25:11","2013-08-02 03:25:11"
"19",8.9317866,47.751353,"2013/08/02","03:30:15","2013-08-02 03:30:15"
"20",8.9316205,47.751349,"2013/08/02","03:35:10","2013-08-02 03:35:10"
"21",8.9316197,47.751387,"2013/08/02","03:40:13","2013-08-02 03:40:13"
"22",8.931694,47.751246,"2013/08/02","03:45:16","2013-08-02 03:45:16"
"23",8.9316899,47.751274,"2013/08/02","03:50:10","2013-08-02 03:50:10"
"24",8.9316025,47.751396,"2013/08/02","03:55:15","2013-08-02 03:55:15"
"25",8.931628,47.751427,"2013/08/02","04:00:30","2013-08-02 04:00:30"
"26",8.9316199,47.751403,"2013/08/02","04:05:10","2013-08-02 04:05:10"
"27",8.9317369,47.751263,"2013/08/02","04:10:10","2013-08-02 04:10:10"
"28",8.9316638,47.75137,"2013/08/02","04:15:09","2013-08-02 04:15:09"
"29",8.9315812,47.751402,"2013/08/02","04:20:12","2013-08-02 04:20:12"
"30",8.9314736,47.751486,"2013/08/02","04:25:10","2013-08-02 04:25:10"
"31",8.9306548,47.75121,"2013/08/02","04:30:11","2013-08-02 04:30:11"
"32",8.9306441,47.75132,"2013/08/02","04:35:11","2013-08-02 04:35:11"
"33",8.9307739,47.751174,"2013/08/02","04:40:19","2013-08-02 04:40:19"
"34",8.9306119,47.751324,"2013/08/02","04:45:33","2013-08-02 04:45:33"
"35",8.9297192,47.751974,"2013/08/02","04:50:24","2013-08-02 04:50:24"
"36",8.9311815,47.751379,"2013/08/02","04:55:46","2013-08-02 04:55:46"
"37",8.93116,47.751371,"2013/08/02","05:00:09","2013-08-02 05:00:09"
"38",8.9311985,47.75119,"2013/08/02","05:05:12","2013-08-02 05:05:12"
"39",8.9311817,47.751389,"2013/08/02","05:10:09","2013-08-02 05:10:09"
"40",8.931114,47.75143,"2013/08/02","05:15:11","2013-08-02 05:15:11"
"41",8.931106,47.751352,"2013/08/02","05:20:10","2013-08-02 05:20:10"
"42",8.931087,47.75141,"2013/08/02","05:25:12","2013-08-02 05:25:12"
"43",8.9311347,47.751387,"2013/08/02","05:30:10","2013-08-02 05:30:10"
"44",8.931222,47.751421,"2013/08/02","05:35:11","2013-08-02 05:35:11"
"45",8.9311158,47.751045,"2013/08/02","05:40:10","2013-08-02 05:40:10"
"46",8.9314391,47.751282,"2013/08/02","05:45:10","2013-08-02 05:45:10"
"47",8.9311025,47.751412,"2013/08/02","05:50:09","2013-08-02 05:50:09"
"48",8.9312737,47.75137,"2013/08/02","05:55:08","2013-08-02 05:55:08"
"49",8.9311869,47.751279,"2013/08/02","06:00:10","2013-08-02 06:00:10"
"50",8.9312016,47.751412,"2013/08/02","06:06:55","2013-08-02 06:06:55"
"51",8.9312358,47.751357,"2013/08/02","06:11:28","2013-08-02 06:11:28"
"52",8.931262,47.751463,"2013/08/02","06:15:09","2013-08-02 06:15:09"
"53",8.9313657,47.751862,"2013/08/02","06:20:15","2013-08-02 06:20:15"
"54",8.9312573,47.751615,"2013/08/02","06:25:12","2013-08-02 06:25:12"
