x,y,date,time
"494876,990330001000000","5288666,339478710000000",2013/08/04,02:00:23
"494875,695994841000000","5288669,008007940000000",2013/08/04,02:05:06
"494877,970647559000000","5288664,560355710000000",2013/08/04,02:10:06
"494878,358834708000000","5288662,781755590000000",2013/08/04,02:15:06
"494875,724110964000000","5288666,896302410000000",2013/08/04,02:20:06
"494880,128713235000000","5288663,891604280000000",2013/08/04,02:25:06
"494878,525007417000000","5288664,226443040000000",2013/08/04,02:30:06
"494877,429708280000000","5288663,115999170000000",2013/08/04,02:35:06
"494881,106678656000000","5288659,445097800000000",2013/08/04,02:40:06
"494878,603433464000000","5288659,669589200000000",2013/08/04,02:45:06
"494877,720652313000000","5288661,559767050000000",2013/08/04,02:50:06
"494876,465755426000000","5288666,451083040000000",2013/08/04,02:55:06
"494877,036577786000000","5288667,784272020000000",2013/08/04,03:00:06
"494876,210030978000000","5288665,451039080000000",2013/08/04,03:05:06
"494877,566586821000000","5288665,338700080000000",2013/08/04,03:10:06
"494877,402474723000000","5288666,227973690000000",2013/08/04,03:15:06
"494875,320836083000000","5288668,563774960000000",2013/08/04,03:20:06
"494873,535378161000000","5288666,787094960000000",2013/08/04,03:25:06
"494877,987011936000000","5288666,116316500000000",2013/08/04,03:30:06
"494873,216811378000000","5288671,010737860000000",2013/08/04,03:35:06
"494872,961086569000000","5288670,010694040000000",2013/08/04,03:40:06
"494879,005198888000000","5288664,781724600000000",2013/08/04,03:45:06
"494869,615861862000000","5288684,350852030000000",2013/08/04,03:50:06
"494871,715291568000000","5288668,233537700000000",2013/08/04,03:55:06
"494871,352147293000000","5288672,901784480000000",2013/08/04,04:00:07
"494870,871955759000000","5288672,346503540000000",2013/08/04,04:05:06
"494878,991483584000000","5288666,226570860000000",2013/08/04,04:10:06
"494874,414196720000000","5288668,897999160000000",2013/08/04,04:15:06
"494872,583403894000000","5288658,230072440000000",2013/08/04,04:20:06
"494875,924423297000000","5288664,562162620000000",2013/08/04,04:25:20
"494869,801330844000000","5288665,234420460000000",2013/08/04,04:30:07
"494882,508849688000000","5288668,557430020000000",2013/08/04,04:35:06
"494875,249058466000000","5288663,673630460000000",2013/08/04,04:40:07
"494880,797856864000000","5288666,224976660000000",2013/08/04,04:45:06
"494870,928872285000000","5288668,901079440000000",2013/08/04,04:50:07
"494877,085217575000000","5288663,449726620000000",2013/08/04,04:55:06
"494872,000997954000000","5288669,233554960000000",2013/08/04,05:00:06
"494873,503365944000000","5288656,006437710000000",2013/08/04,05:05:06
"494876,388999778000000","5288672,897334010000000",2013/08/04,05:10:07
"494877,167666187000000","5288663,449653810000000",2013/08/04,05:15:06
"494870,381249387000000","5288659,899135440000000",2013/08/04,05:20:06
"494883,240993079000000","5288674,336120900000000",2013/08/04,05:25:06
"494882,888366284000000","5288665,445144780000000",2013/08/04,05:30:06
"494879,605609759000000","5288665,670323360000000",2013/08/04,05:35:06
"494873,330058044000000","5288663,453043730000000",2013/08/04,05:40:06
"494886,142857051000000","5288658,662668800000000",2013/08/04,05:45:06
"494870,337653161000000","5288661,455149210000000",2013/08/04,05:50:06
"494916,832835639000000","5288629,072169680000000",2013/08/04,06:00:07
"494871,313028698000000","5288662,565697760000000",2013/08/04,06:05:07
"494867,565242802000000","5288670,904593780000000",2013/08/04,06:10:07
"494876,081530685000000","5288664,228600600000000",2013/08/04,06:15:07
"494877,249722251000000","5288663,005017000000000",2013/08/04,06:20:07
"494869,383092359000000","5288658,455183930000000",2013/08/04,06:25:07
"494874,371319539000000","5288662,785277160000000",2013/08/04,06:30:07
"494835,380814602000000","5288663,042138170000000",2013/08/04,06:35:07
"494787,006728628000000","5288713,988024800000000",2013/08/04,06:40:08
"494804,440472791000000","5288696,967797660000000",2013/08/04,06:45:07
"494796,525233358000000","5288705,088191700000000",2013/08/04,06:50:14
"494806,544425757000000","5288702,856391970000000",2013/08/04,06:55:23
"494818,544117914000000","5288694,176656810000000",2013/08/04,07:00:07
"494814,134051334000000","5288682,621923390000000",2013/08/04,07:05:07
"494815,889640723000000","5288684,509752960000000",2013/08/04,07:10:07
"494816,961865974000000","5288684,953359320000000",2013/08/04,07:15:07
"494816,590723551000000","5288680,619188250000000",2013/08/04,07:20:07
"494817,668608381000000","5288687,397832030000000",2013/08/04,07:25:07
"494810,450477033000000","5288678,846420060000000",2013/08/04,07:30:06
"494952,485550152000000","5288307,065414710000000",2013/08/04,07:35:06
"494966,033769768000000","5288328,170439260000000",2013/08/04,07:40:07
"494931,741627463000000","5288372,212141070000000",2013/08/04,07:45:07
"494943,308923267000000","5288425,438606410000000",2013/08/04,07:50:07
"494915,676009204000000","5288403,790252040000000",2013/08/04,07:55:06
"494901,102775894000000","5288367,793344280000000",2013/08/04,08:00:07
"494904,228235029000000","5288384,572895060000000",2013/08/04,08:05:23
"494886,358061784000000","5288426,599931590000000",2013/08/04,08:10:06
"494876,566788464000000","5288381,929870250000000",2013/08/04,08:15:06
"494862,751868017000000","5288364,604083850000000",2013/08/04,08:20:06
"494875,893272778000000","5288425,608894860000000",2013/08/04,08:25:06
"494924,865459030000000","5288437,791366150000000",2013/08/04,08:30:06
"494929,240051621000000","5288451,680172270000000",2013/08/04,08:35:07
"495071,745510891000000","5288379,871405770000000",2013/08/04,08:40:07
"495066,866569685000000","5288380,764680240000000",2013/08/04,08:45:07
"495036,172639980000000","5288373,122127240000000",2013/08/04,08:50:07
"495072,454298263000000","5288375,980867640000000",2013/08/04,08:55:07
"495073,594965744000000","5288377,535873460000000",2013/08/04,09:00:07
"495071,766544034000000","5288386,984414040000000",2013/08/04,09:05:07
"495066,645955608000000","5288412,217780940000000",2013/08/04,09:10:07
"495051,810644556000000","5288401,783156550000000",2013/08/04,09:15:07
"495074,493034207000000","5288375,867995520000000",2013/08/04,09:20:07
"495073,115146721000000","5288377,425139850000000",2013/08/04,09:25:07
"494879,980670290000000","5288666,003415610000000",2013/08/04,09:30:07
"494876,567156563000000","5288662,449914300000000",2013/08/04,09:35:06
"494867,327578248000000","5288664,903185210000000",2013/08/04,09:40:07
"494879,426997187000000","5288667,115315160000000",2013/08/04,09:45:07
"494874,996966360000000","5288666,785803630000000",2013/08/04,09:50:07
"494878,489983615000000","5288667,005001180000000",2013/08/04,09:55:07
"494876,703544711000000","5288664,116910180000000",2013/08/04,10:00:07
"494882,983897759000000","5288671,780102590000000",2013/08/04,10:05:07
"494886,558920843000000","5288662,996804480000000",2013/08/04,10:10:07
"494878,488806254000000","5288665,671309150000000",2013/08/04,10:15:23
"494877,640264395000000","5288663,893800880000000",2013/08/04,10:20:07
"494882,501006773000000","5288659,666149880000000",2013/08/04,10:25:07
"494877,261633744000000","5288668,006355470000000",2013/08/04,10:30:07
"494877,244189667000000","5288665,227843650000000",2013/08/04,10:30:17
"494882,679967658000000","5288667,112444930000000",2013/08/04,10:35:07
"494877,824666069000000","5288669,006128150000000",2013/08/04,10:40:06
"494879,272832642000000","5288670,783107170000000",2013/08/04,10:45:07
"494877,223764580000000","5288667,561824560000000",2013/08/04,10:50:06
"494876,759741575000000","5288668,340221930000000",2013/08/04,10:55:07
"494876,331428513000000","5288667,118048200000000",2013/08/04,11:00:07
"494876,121755768000000","5288667,340515560000000",2013/08/04,11:05:06
"494877,523773768000000","5288667,783841830000000",2013/08/04,11:10:06
"494875,501705514000000","5288669,675026090000000",2013/08/04,11:15:06
"494877,466301728000000","5288662,115697060000000",2013/08/04,11:20:07
"494875,268270655000000","5288668,452680300000000",2013/08/04,11:25:07
"494876,502250534000000","5288665,339639920000000",2013/08/04,11:30:06
"494872,521544854000000","5288664,565169130000000",2013/08/04,11:35:06
"494873,001804388000000","5288673,678314020000000",2013/08/04,11:40:07
"494877,395236707000000","5288675,008126150000000",2013/08/04,11:45:07
"494876,510629222000000","5288666,339902320000000",2013/08/04,11:50:07
"494874,556116882000000","5288668,342168330000000",2013/08/04,11:55:07
"494871,582831915000000","5288671,012182020000000",2013/08/04,12:00:07
