"x","y","date","time"
494876.29244407,5288673.89768803,"2013/08/05","03:50:07"
494874.114776655,5288669.34282699,"2013/08/05","03:55:06"
494856.381333861,5288678.36095062,"2013/08/05","04:00:07"
494873.095020159,5288668.89916372,"2013/08/05","04:05:07"
494877.70683919,5288662.89347123,"2013/08/05","04:10:06"
494875.967333864,5288662.2281608,"2013/08/05","04:15:07"
494871.555208556,5288673.67959154,"2013/08/05","04:20:06"
494881.283428754,5288655.88842599,"2013/08/05","04:25:07"
494869.543686457,5288679.01614239,"2013/08/05","04:30:07"
494860.485317228,5288674.4673753,"2013/08/05","04:35:06"
494850.735690849,5288684.92328322,"2013/08/05","04:40:07"
494867.869873094,5288676.35023665,"2013/08/05","04:45:07"
494857.374064296,5288682.13886767,"2013/08/05","04:50:07"
494860.688773714,5288675.68974707,"2013/08/05","04:55:06"
494865.72532871,5288675.35186433,"2013/08/05","05:00:07"
494866.764817104,5288672.68355832,"2013/08/05","05:05:07"
494852.27143856,5288684.0327916,"2013/08/05","05:10:06"
494811.802450784,5288715.52177153,"2013/08/05","05:20:07"
494877.375867094,5288661.56007041,"2013/08/05","05:25:06"
494875.577380367,5288662.00622306,"2013/08/05","05:30:20"
494875.592076521,5288661.67278681,"2013/08/05","05:35:06"
494875.107039945,5288664.1183192,"2013/08/05","05:40:06"
494872.903610089,5288664.34254823,"2013/08/05","05:45:06"
494872.516308768,5288667.12141773,"2013/08/05","05:50:06"
494876.567254714,5288662.56105424,"2013/08/05","05:55:07"
494874.474257481,5288669.00908612,"2013/08/05","06:00:06"
494871.93514105,5288662.56514677,"2013/08/05","06:05:21"
494878.736092969,5288657.11322602,"2013/08/05","06:10:07"
494877.4724232,5288660.55971536,"2013/08/05","06:15:07"
494860.940601933,5288646.9039821,"2013/08/05","06:20:06"
494807.930703212,5288643.83923015,"2013/08/05","06:25:06"
494806.761527506,5288643.9514177,"2013/08/05","06:30:07"
494808.838237705,5288644.50526456,"2013/08/05","06:35:07"
494807.820794939,5288638.28227419,"2013/08/05","06:40:07"
494808.894719923,5288640.61527598,"2013/08/05","06:45:06"
494804.962941191,5288644.28645123,"2013/08/05","06:50:07"
494804.773865437,5288642.39722206,"2013/08/05","06:55:07"
494812.306656088,5288650.72606301,"2013/08/05","07:00:07"
495057.619267331,5288374.77093317,"2013/08/05","07:05:07"
495071.328527164,5288374.31470729,"2013/08/05","07:10:07"
495069.328308179,5288375.65009914,"2013/08/05","07:15:07"
495090.883979439,5288346.73515342,"2013/08/05","07:20:06"
495035.929829732,5288369.67696191,"2013/08/05","07:25:07"
495017.11984771,5288383.36343273,"2013/08/05","07:30:07"
494867.619514955,5288410.27874249,"2013/08/05","07:35:07"
494907.128123442,5288451.8106797,"2013/08/05","07:40:07"
494907.684738288,5288394.23912971,"2013/08/05","07:45:07"
494875.553880303,5288406.27065172,"2013/08/05","07:50:06"
494846.962543301,5288369.28600789,"2013/08/05","07:55:07"
494852.852405586,5288333.49336683,"2013/08/05","08:00:07"
494852.667375762,5288344.60763419,"2013/08/05","08:05:20"
494852.476040229,5288331.71544422,"2013/08/05","08:10:06"
494853.02431499,5288332.93750917,"2013/08/05","08:15:07"
