"x","y","date","time","x.1","y.1","optional"
494876.9903,5288666.339,"2013/08/04","02:00:23",494876.9903,5288666.339,1
494875.696,5288669.008,"2013/08/04","02:05:06",494875.696,5288669.008,1
494877.9706,5288664.56,"2013/08/04","02:10:06",494877.9706,5288664.56,1
494878.3588,5288662.782,"2013/08/04","02:15:06",494878.3588,5288662.782,1
494875.7241,5288666.896,"2013/08/04","02:20:06",494875.7241,5288666.896,1
494880.1287,5288663.892,"2013/08/04","02:25:06",494880.1287,5288663.892,1
494878.525,5288664.226,"2013/08/04","02:30:06",494878.525,5288664.226,1
494877.4297,5288663.116,"2013/08/04","02:35:06",494877.4297,5288663.116,1
494881.1067,5288659.445,"2013/08/04","02:40:06",494881.1067,5288659.445,1
494878.6034,5288659.67,"2013/08/04","02:45:06",494878.6034,5288659.67,1
494877.7207,5288661.56,"2013/08/04","02:50:06",494877.7207,5288661.56,1
494876.4658,5288666.451,"2013/08/04","02:55:06",494876.4658,5288666.451,1
494877.0366,5288667.784,"2013/08/04","03:00:06",494877.0366,5288667.784,1
494876.21,5288665.451,"2013/08/04","03:05:06",494876.21,5288665.451,1
494877.5666,5288665.339,"2013/08/04","03:10:06",494877.5666,5288665.339,1
494877.4025,5288666.228,"2013/08/04","03:15:06",494877.4025,5288666.228,1
494875.3208,5288668.564,"2013/08/04","03:20:06",494875.3208,5288668.564,1
494873.5354,5288666.787,"2013/08/04","03:25:06",494873.5354,5288666.787,1
494877.987,5288666.116,"2013/08/04","03:30:06",494877.987,5288666.116,1
494873.2168,5288671.011,"2013/08/04","03:35:06",494873.2168,5288671.011,1
494872.9611,5288670.011,"2013/08/04","03:40:06",494872.9611,5288670.011,1
494879.0052,5288664.782,"2013/08/04","03:45:06",494879.0052,5288664.782,1
494869.6159,5288684.351,"2013/08/04","03:50:06",494869.6159,5288684.351,1
494871.7153,5288668.234,"2013/08/04","03:55:06",494871.7153,5288668.234,1
494871.3521,5288672.902,"2013/08/04","04:00:07",494871.3521,5288672.902,1
494870.872,5288672.347,"2013/08/04","04:05:06",494870.872,5288672.347,1
494878.9915,5288666.227,"2013/08/04","04:10:06",494878.9915,5288666.227,1
494874.4142,5288668.898,"2013/08/04","04:15:06",494874.4142,5288668.898,1
494872.5834,5288658.23,"2013/08/04","04:20:06",494872.5834,5288658.23,1
494875.9244,5288664.562,"2013/08/04","04:25:20",494875.9244,5288664.562,1
494869.8013,5288665.234,"2013/08/04","04:30:07",494869.8013,5288665.234,1
494882.5088,5288668.557,"2013/08/04","04:35:06",494882.5088,5288668.557,1
494875.2491,5288663.674,"2013/08/04","04:40:07",494875.2491,5288663.674,1
494880.7979,5288666.225,"2013/08/04","04:45:06",494880.7979,5288666.225,1
494870.9289,5288668.901,"2013/08/04","04:50:07",494870.9289,5288668.901,1
494877.0852,5288663.45,"2013/08/04","04:55:06",494877.0852,5288663.45,1
494872.001,5288669.234,"2013/08/04","05:00:06",494872.001,5288669.234,1
494873.5034,5288656.006,"2013/08/04","05:05:06",494873.5034,5288656.006,1
494876.389,5288672.897,"2013/08/04","05:10:07",494876.389,5288672.897,1
